id,name,platform,country,category,followers,engagement_rate,brand_fit_score,tags,last_updated
youtube_azawi,Azawi,YouTube,Uganda,Music,2490930,9.1,73,"music,performance,afrobeat,uganda",2025-10-20
youtube_winnie_nwagi,Winnie Nwagi,YouTube,Uganda,Lifestyle,538594,5.3,56,"daily,travel,vlog,lifestyle",2025-10-20
tiktok_sheebah_karungi,Sheebah Karungi,TikTok,Uganda,Music,606197,9.4,83,"music,performance,afrobeat,uganda",2025-10-20
youtube_eddy_kenzo,Eddy Kenzo,YouTube,Uganda,Tech,2464833,4.4,98,"gadgets,tech,apps,reviews",2025-10-20
tiktok_martha_kay,Martha Kay,TikTok,Uganda,Fashion,1543326,3.3,72,"style,design,beauty,fashion",2025-10-20
tiktok_navio,Navio,TikTok,Uganda,Lifestyle,901767,8.5,52,"daily,travel,vlog,lifestyle",2025-10-20
tiktok_joshua_baraka,Joshua Baraka,TikTok,Uganda,Food,1594190,6.3,88,"food,chef,recipes,uganda",2025-10-20
youtube_lydia_jazmine,Lydia Jazmine,YouTube,Uganda,Food,518738,7.6,45,"food,chef,recipes,uganda",2025-10-20
youtube_lynda_ddane,Lynda Ddane,YouTube,Uganda,Fashion,2493556,3.8,62,"style,design,beauty,fashion",2025-10-20
instagram_bettinah_tianah,Bettinah Tianah,Instagram,Uganda,Tech,298214,8.2,57,"gadgets,tech,apps,reviews",2025-10-20
instagram_spice_diana,Spice Diana,Instagram,Uganda,Lifestyle,1893392,6.7,70,"daily,travel,vlog,lifestyle",2025-10-20
instagram_vinka,Vinka,Instagram,Uganda,Food,2237832,3.5,48,"food,chef,recipes,uganda",2025-10-20
instagram_followers_of_christ_choir,Followers of Christ Choir,Instagram,Uganda,Food,750345,5.8,97,"food,chef,recipes,uganda",2025-10-20
instagram_gnl_zamba,GNL Zamba,Instagram,Uganda,Fashion,1359991,8.6,93,"style,design,beauty,fashion",2025-10-20
tiktok_abryanz,Abryanz,TikTok,Uganda,Food,1615073,4.6,72,"food,chef,recipes,uganda",2025-10-20
instagram_bobi_wine,Bobi Wine,Instagram,Uganda,Lifestyle,101969,2.9,83,"daily,travel,vlog,lifestyle",2025-10-20
tiktok_rema_namakula,Rema Namakula,TikTok,Uganda,Food,119813,7.7,90,"food,chef,recipes,uganda",2025-10-20
tiktok_fik_fameica,Fik Fameica,TikTok,Uganda,Tech,1352464,6.3,95,"gadgets,tech,apps,reviews",2025-10-20
instagram_kansiime_anne,Kansiime Anne,Instagram,Uganda,Fashion,2417258,2.3,93,"style,design,beauty,fashion",2025-10-20
youtube_balaam_barugahara,Balaam Barugahara,YouTube,Uganda,Food,670915,5.8,78,"food,chef,recipes,uganda",2025-10-20
instagram_elsa_majimbo,Elsa Majimbo,Instagram,Kenya,Lifestyle,1328083,4.1,85,"daily,travel,vlog,lifestyle",2025-10-20
tiktok_wabosha_maxine,Wabosha Maxine,TikTok,Kenya,Lifestyle,2324115,8.1,98,"daily,travel,vlog,lifestyle",2025-10-20
instagram_king_kaka,King Kaka,Instagram,Kenya,Music,1814161,2.7,78,"music,performance,afrobeat,kenya",2025-10-20
tiktok_thee_pluto,Thee Pluto,TikTok,Kenya,Tech,405887,2.6,94,"gadgets,tech,apps,reviews",2025-10-20
tiktok_muthoni_drummer_queen,Muthoni Drummer Queen,TikTok,Kenya,Tech,1859779,7.2,85,"gadgets,tech,apps,reviews",2025-10-20
tiktok_shaq_the_yungin,Shaq The Yungin,TikTok,Kenya,Lifestyle,798161,1.4,93,"daily,travel,vlog,lifestyle",2025-10-20
youtube_nikita_kering,Nikita Kering,YouTube,Kenya,Fashion,1791037,4.0,60,"style,design,kenya,beauty",2025-10-20
tiktok_fena_gitu,Fena Gitu,TikTok,Kenya,Music,1298972,9.0,74,"music,performance,afrobeat,kenya",2025-10-20
tiktok_terence_creative,Terence Creative,TikTok,Kenya,Food,760846,7.9,82,"food,chef,recipes,kenya",2025-10-20
instagram_kate_actress,Kate Actress,Instagram,Kenya,Lifestyle,283774,4.0,48,"daily,travel,vlog,lifestyle",2025-10-20
tiktok_bien_aime_baraza,Bien Aime Baraza,TikTok,Kenya,Music,773858,7.1,59,"music,performance,afrobeat,kenya",2025-10-20
instagram_khaligraph_jones,Khaligraph Jones,Instagram,Kenya,Fashion,133330,7.8,56,"style,design,kenya,beauty",2025-10-20
tiktok_bahati,Bahati,TikTok,Kenya,Tech,812299,1.7,69,"gadgets,tech,apps,reviews",2025-10-20
instagram_diana_marua,Diana Marua,Instagram,Kenya,Music,2301630,7.6,46,"music,performance,afrobeat,kenya",2025-10-20
instagram_njugush,Njugush,Instagram,Kenya,Tech,739496,1.1,62,"gadgets,tech,apps,reviews",2025-10-20
youtube_eric_omondi,Eric Omondi,YouTube,Kenya,Lifestyle,1835563,8.5,73,"daily,travel,vlog,lifestyle",2025-10-20
youtube_xenia_manasseh,Xenia Manasseh,YouTube,Kenya,Food,2225592,3.5,51,"food,chef,recipes,kenya",2025-10-20
tiktok_azziad_nasenya,Azziad Nasenya,TikTok,Kenya,Tech,306953,3.0,68,"gadgets,tech,apps,reviews",2025-10-20
youtube_nadia_mukami,Nadia Mukami,YouTube,Kenya,Tech,770734,5.0,45,"gadgets,tech,apps,reviews",2025-10-20
